page,name_en,gi,line
6,"Ltd, Finland) Finland 2012*",119,"Ltd, Finland) Finland 2012* 119±10 12 Normal, 10 25 510 Glucose, 2h Standard Capillary,"
6,Republic 2016*,89,"Republic 2016* 89±2 9 Normal, 10 25 554.3 Glucose, 2h Standard Capillary,"
7,"Sinebrychoff Ltd, Finland) Finland 2012*",80,"Sinebrychoff Ltd, Finland) Finland 2012* 80±6 8 Normal, 10 25 640 Glucose, 2h Standard Capillary,"
7,"75 Coca Cola®, soft drink (Coca Cola Amatil, Sydney, Australia) Australia 2006",53,"75 Coca Cola®, soft drink (Coca Cola Amatil, Sydney, Australia) Australia 2006 53±7 13 Normal, 10 50 480.8 Bread, 2h Standard Capillary,"
7,"76 Coca Cola®, soft drink Italy 2011",73,"76 Coca Cola®, soft drink Italy 2011 73±7 18 Normal, 9 50 472 Glucose, 2h Standard Capillary,"
7,Finland) Finland 2011,72,"Finland) Finland 2011 72±7 18 Normal, 12 50 450 Glucose, 2h Standard Capillary,"
7,"Pty Ltd, Australia) Australia 2017",65,"Pty Ltd, Australia) Australia 2017 65±5 16 Normal, 10 25 231.5 Glucose, 2h Standard Capillary,"
7,"Schweppes, Sydney, Australia) Australia 2006",54,"Schweppes, Sydney, Australia) Australia 2006 54±5 14 Normal, 10 50 454.5 Glucose, 2h Standard Capillary,"
7,"Schweppes, Australia) Australia 2001",58,"Schweppes, Australia) Australia 2001 58±5 15 Normal, 10 25 190.8 Glucose, 2h Standard Capillary,"
7,"Company, Australia) Australia 2011",64,"Company, Australia) Australia 2011 64±3 16 Normal, 10 50 495.0 Glucose, 2h Standard Capillary,"
7,"mL water (GlaxoSmithKline Group, Australia) Australia 2006",52,"mL water (GlaxoSmithKline Group, Australia) Australia 2006 52±5 13 Normal, 10 50 63.1 Glucose, 2h Standard Capillary,"
7,"83 Fruit drink, decreased GI variant (containing 8% isomaltose) Belgium 2010*",48,"83 Fruit drink, decreased GI variant (containing 8% isomaltose) Belgium 2010* 48±8 12 Normal, 10 25 306 Glucose, 2h Standard Venous,"
7,"84 Fruit drink, increased GI variant (containing 8% suc rose) Belgium 2010*",86,"84 Fruit drink, increased GI variant (containing 8% suc rose) Belgium 2010* 86±14 22 Normal, 10 25 306 Glucose, 2h Standard Venous,"
7,85 Fruit flavored beverage Australia 2014*,67,"85 Fruit flavored beverage Australia 2014* 67±5 17 Normal 10 50 769 Glucose, 2h Standard Capillary,"
7,Australia 2014*,58,"Australia 2014* 58±3 15 Normal 10 50 820 Glucose, 2h Standard Capillary,"
7,"Corporation (S) Private Ltd, Singapore) Singapore 2015*",50,"Corporation (S) Private Ltd, Singapore) Singapore 2015* 50±5 13 Normal, 13 50 833.3 Glucose, 2h Standard Capillary,"
7,Italy) Italy 2011,66,"Italy) Italy 2011 66±5 17 Normal, 9 50 575 Glucose, 2h Standard Capillary,"
8,"(F&N Foods Private Ltd, Singapore) Singapore 2015*",74,"(F&N Foods Private Ltd, Singapore) Singapore 2015* 74±7 19 Normal, 14 50 500 Glucose, 2h Standard Capillary,"
8,"fructose) (Estathè deteinato limone, Ferrero, Italy) Italy 2011",38,"fructose) (Estathè deteinato limone, Ferrero, Italy) Italy 2011 38±3 10 Normal, 9 50 575 Glucose, 2h Standard Capillary,"
8,"Ferrero, Italy) Italy 2011",72,"Ferrero, Italy) Italy 2011 72±6 18 Normal, 9 50 442 Glucose, 2h Standard Capillary,"
8,Italy) Italy 2011,71,"Italy) Italy 2011 71±7 18 Normal, 9 50 455 Glucose, 2h Standard Capillary,"
8,"Menu™ (Loblaw Brands Limited, Canada) Canada 2007",44,"Menu™ (Loblaw Brands Limited, Canada) Canada 2007 44±5 11 Normal, 10 50 781.3 Bread, 2h Standard Capillary,"
8,"Company, USA) USA 2002",47,"Company, USA) USA 2002 47±4 12 Normal, 10 50 455.4 Glucose, 2h Standard Capillary,"
8,2007,24,"2007 24±3 6 Normal, 10 50 847.5 Glucose, 2h Standard Capillary,"
8,2007,26,"2007 26±4 7 Normal, 11 50 847.5 Glucose, 2h Standard Capillary,"
8,Australia) Australia 2001,51,"Australia) Australia 2001 51±3 13 Normal, 10 50 69.4 Glucose, 2h Standard Capillary,"
8,"Goulburn Co-Operative Company Limited, Australia) Australia 2012",39,"Goulburn Co-Operative Company Limited, Australia) Australia 2012 39±4 10 Normal, 9 50 468.7 Glucose, 2h Standard Capillary,"
8,"Goulburn Co-Operative Company Limited, Australia) Australia 2012",39,"Goulburn Co-Operative Company Limited, Australia) Australia 2012 39±4 10 Normal, 9 50 449.2 Glucose, 2h Standard Capillary,"
8,(Kellogg’s Australia) Australia 2012,35,"(Kellogg’s Australia) Australia 2012 35±4 9 Normal, 10 50 519.6 Glucose, 2h Standard Capillary,"
8,101 Kellogg‘s® Nutri-Grain Breakfast Fuel (Kellogg’s Australia) Australia 2012,38,"101 Kellogg‘s® Nutri-Grain Breakfast Fuel (Kellogg’s Australia) Australia 2012 38±3 10 Normal, 10 50 514.6 Glucose, 2h Standard Capillary,"
8,"102 Milo™ (Nestlé, Australia) dissolved in water Australia 1999",55,"102 Milo™ (Nestlé, Australia) dissolved in water Australia 1999 55±3 14 Normal, 10 50 73.0 Glucose, 2h Standard Capillary,"
8,"103 Milo™ (Nestlé, Auckland, New Zealand) dissolved in w ater New Zealand 1999",52,"103 Milo™ (Nestlé, Auckland, New Zealand) dissolved in w ater New Zealand 1999 52±5 13 Normal, 10 50 69.4 Glucose, 2h Standard Capillary,"
8,"Group Pty Ltd), prepared with water Australia 2019",32,"Group Pty Ltd), prepared with water Australia 2019 32±4 8 Normal, 10 50 96.2 Glucose, 2h Standard Capillary,"
8,"105 Nesquik™, chocolate (Nestlé, Australia), prepared with water Australia 1998",53,"105 Nesquik™, chocolate (Nestlé, Australia), prepared with water Australia 1998 53±5 13 Normal, 9 50 NS Bread, 2h Standard Capillary,"
9,Australia 1998,64,"Australia 1998 64±6 16 Normal, 9 50 NS Bread, 2h Standard Capillary,"
9,with water Australia 2016,50,"with water Australia 2016 50±4 13 Normal, 10 25 37.6 Glucose, 2h Standard Capillary,"
9,"(Australia Jersey Dairy Group Pty Ltd), prepared with water Australia 2019",32,"(Australia Jersey Dairy Group Pty Ltd), prepared with water Australia 2019 32±4 8 Normal, 10 50 100.5 Glucose, 2h Standard Capillary,"
9,"(Nestlé, Australia) Australia 2001",41,"(Nestlé, Australia) Australia 2001 41±4 10 Normal, 10 50 92.1 Glucose, 2h Standard Capillary,"
9,"Goulburn Co-Operative Company Limited, Australia) Australia 2012",49,"Goulburn Co-Operative Company Limited, Australia) Australia 2012 49±3 12 Normal, 10 50 456.8 Glucose, 2h Standard Capillary,"
9,111 Yakult (Yakult Italia) Italy 2011,51,"111 Yakult (Yakult Italia) Italy 2011 51±4 13 Normal, 10 25 170 Glucose, 2h Standard Capillary,"
9,Taiwan 2010*,58,"Taiwan 2010* 58±0.3 15 Normal, 10 50 NS Bread, 2h Standard Capillary,"
9,"(Yakult, Dandenong, Australia) Australia 2005",36,"(Yakult, Dandenong, Australia) Australia 2005 36±6 9 Normal, 10 50 384.6 Glucose, 2h Standard Capillary,"
9,"Natural Foods, Taren Point, Australia) Australia 2003",92,"Natural Foods, Taren Point, Australia) Australia 2003 92±9 23 Normal, 10 50 390.6 Glucose, 2h Standard Capillary,"
9,"Foods Ltd, Australia) Australia 2005",79,"Foods Ltd, Australia) Australia 2005 79±8 20 Normal, 10 50 531.9 Glucose, 2h Standard Capillary,"
9,"Storie di frutta, Mulino Bianco, Barilla, Italy) Italy 2011",68,"Storie di frutta, Mulino Bianco, Barilla, Italy) Italy 2011 68±5 17 Normal, 9 50 336 Glucose, 2h Standard Capillary,"
9,"117 Smoothie, banana Australia 2003",30,"117 Smoothie, banana Australia 2003 30±4 8 Normal, 10 50 505.1 Glucose, 2h Standard Capillary,"
9,Australia 2014,28,"Australia 2014 28±3 7 Normal, 10 50 517.5 Glucose, 2h Standard Capillary,"
9,"Soup Company, Camden, USA) USA 2002",44,"Soup Company, Camden, USA) USA 2002 44±3 11 Normal, 10 50 473.0 Glucose, 2h Standard Capillary,"
9,"120 Smoothie, mango Australia 2003",32,"120 Smoothie, mango Australia 2003 32±4 8 Normal, 10 50 476.2 Glucose, 2h Standard Capillary,"
9,"121 Smoothie, mango and passionfruit (Innocent Ltd., UK) UK 2019*",36,"121 Smoothie, mango and passionfruit (Innocent Ltd., UK) UK 2019* 36±5 9 Normal, 10 25 235.8 Glucose, 2h Standard Capillary,"
10,"122 Smoothie, raspberry (Con Agra Inc, Omaha, USA) USA 1999",33,"122 Smoothie, raspberry (Con Agra Inc, Omaha, USA) USA 1999 33±9 8 Normal, 10 25 177.3 Bread, 2h Standard Capillary,"
10,"123 Smoothie, strawberry and banana (Innocent Ltd., UK) UK 2019*",39,"123 Smoothie, strawberry and banana (Innocent Ltd., UK) UK 2019* 39±4 10 Normal, 10 25 213.7 Glucose, 2h Standard Capillary,"
10,"Operative Company Limited, Australia) Australia 2014",31,"Operative Company Limited, Australia) Australia 2014 31±4 8 Normal, 10 50 588.1 Glucose, 2h Standard Capillary,"
10,"breakfast (Sanitarium Health Foods, Australia) Australia 2001",43,"breakfast (Sanitarium Health Foods, Australia) Australia 2001 43±5 11 Normal, 10 25 NS Glucose, 2h Standard Capillary,"
10,USA 2004,33,"USA 2004 33±4 8 Normal, 10 25 47.1 Glucose, 2h Standard Capillary,"
10,"Health Foods, Australia) Australia 2008",46,"Health Foods, Australia) Australia 2008 46±3 12 Normal, 10 50 595.2 Glucose, 2h Standard Capillary,"
10,"with fructose (So Natural Foods, Australia) Australia 2001",39,"with fructose (So Natural Foods, Australia) Australia 2001 39±2 10 Normal, 10 25 438.6 Glucose, 2h Standard Capillary,"
10,"breakfast (Sanitarium Health Foods, Australia) Australia 2001",46,"breakfast (Sanitarium Health Foods, Australia) Australia 2001 46±5 12 Normal, 10 25 NS Glucose, 2h Standard Capillary,"
10,Australia) Australia 2000,30,"Australia) Australia 2000 30±3 8 Normal, 10 25 342.5 Glucose, 2h Standard Capillary,"
10,"Foods, Australia) Australia 2000",34,"Foods, Australia) Australia 2000 34±3 9 Normal, 10 25 294.1 Glucose, 2h Standard Capillary,"
10,2007,40,"2007 40±5 10 Normal, 10 50 446.4 Bread, 2h Standard Capillary,"
10,2007,15,"2007 15±4 4 Normal, 10 25 694.4 Bread, 2h Standard Capillary,"
10,2007,28,"2007 28±3 7 Normal, 10 50 781.3 Bread, 2h Standard Capillary,"
10,USA 2017*,67,"USA 2017* 67±6 17 Normal, 10 50 NS Glucose, 2h Standard Capillary,"
10,prepared with water Australia 2019,36,"prepared with water Australia 2019 36±3 9 Normal, 10 50 76.6 Glucose, 2h Standard Capillary,"
11,prepared with water Australia 2019,37,"prepared with water Australia 2019 37±3 9 Normal, 9 50 75.5 Glucose, 2h Standard Capillary,"
11,2007,11,"2007 11±2 3 Normal, 10 50 357.1 Glucose, 2h Standard Capillary,"
11,"Foods, Australia) Australia 2006",16,"Foods, Australia) Australia 2006 16±4 4 Normal, 10 25 843.3 Glucose, 2h Standard Capillary,"
11,Australia) Australia 2015,42,"Australia) Australia 2015 42±3 11 Normal, 10 50 561.1 Glucose, 2h Standard Capillary,"
11,"organic brown rice (Pure Harvest Coco Quench, Australia) Australia 2020",68,"organic brown rice (Pure Harvest Coco Quench, Australia) Australia 2020 68±6 17 Normal, 10 50 641.0 Glucose, 2h Standard Capillary,"
11,"142 Coconut Water, water of green coconut, Nudie™ Australia 2012",55,"142 Coconut Water, water of green coconut, Nudie™ Australia 2012 55±3 14 Normal, 9 25 500.0 Glucose, 2h Standard Capillary,"
11,"Ltd, New Zealand), powder prepared with water New Zealand 2019",25,"Ltd, New Zealand), powder prepared with water New Zealand 2019 25±2 6 Normal, 10 50 87.7 Glucose, 2h Standard Capillary,"
11,Australia) Australia 2009,69,"Australia) Australia 2009 69±6 17 Normal, 9 50 571.4 Glucose, 2h Standard Capillary,"
11,"145 English Muffin™ bread (Natural Ovens, USA) USA 1999",77,"145 English Muffin™ bread (Natural Ovens, USA) USA 1999 77±7 12 Normal, 10 50 141.6 Bread, 2h Standard Capillary,"
11,"Blue Menu™ (Loblaw Brands Limited, Canada) Canada 2007",45,"Blue Menu™ (Loblaw Brands Limited, Canada) Canada 2007 45±3 7 Normal, 10 50 142.5 Bread, 2h Standard Capillary,"
11,New Zealand 2009*,57,"New Zealand 2009* 57±5 9 Normal, 20 50 NS Glucose, 2h Standard Capillary,"
11,"New Zealand), tested after a high -CHO evening meal13 New Zealand 2010*",68,"New Zealand), tested after a high -CHO evening meal13 New Zealand 2010* 68±4 10 Normal, 20 50 NS Glucose, 2h Standard Capillary,"
11,"New Zealand), tested after a high -fat evening meal13 New Zealand 2010*",59,"New Zealand), tested after a high -fat evening meal13 New Zealand 2010* 59±4 9 Normal, 20 50 NS Glucose, 2h Standard Capillary,"
11,"150 Fruit loaf, Bürgen® (Tip Top Bakeries, Chatswood, Australia) Australia 1997",44,"150 Fruit loaf, Bürgen® (Tip Top Bakeries, Chatswood, Australia) Australia 1997 44±5 7 Normal, 10 50 NS Bread, 2h Standard Capillary,"
12,2007,53,"2007 53±4 8 Normal, 10 50 132.6 Glucose, 2h Standard Capillary,"
12,"152 Fruit and cinnamon bread (Finest, UK) UK 2005",71,"152 Fruit and cinnamon bread (Finest, UK) UK 2005 71±11 11 Normal, 10 50 94.9 Glucose, 2h Standard Capillary,"
12,"Moorebank, Australia) Australia 2003",54,"Moorebank, Australia) Australia 2003 54±6 8 Normal, 10 50 95.1 Glucose, 2h Standard Capillary,"
12,"154 Fruit loaf, sliced UK 2005",57,"154 Fruit loaf, sliced UK 2005 57±6 9 Normal, 10 50 91.9 Glucose, 2h Standard Capillary,"
12,"Manitowoc, USA) USA 1999",63,"Manitowoc, USA) USA 1999 63±5 9 Normal, 10 50 133.3 Bread, 2h Standard Capillary,"
12,USA 1999,54,"USA 1999 54±6 8 Normal, 10 50 122.9 Bread, 2h Standard Capillary,"
12,"157 Raisin Toast, TipTop™ (Tip Top Bakeries, Australia) Australia 2016",53,"157 Raisin Toast, TipTop™ (Tip Top Bakeries, Australia) Australia 2016 53±3 8 Normal, 10 50 94.5 Glucose, 2h Standard Capillary,"
12,158 Whole-wheat bread with dried fruit China 2005,47,"158 Whole-wheat bread with dried fruit China 2005 47±2 7 Normal, 10 50 NS Glucose, 2h Standard Venous, NS NS 12"
12,Fruit bread (mean),57,"Fruit bread, mean of 12 foods 57"
12,"Dandenong, Australia) Australia 2000",79,"Dandenong, Australia) Australia 2000 79±13 12 Normal, 10 50 131.9 Glucose, 2h Standard Capillary,"
12,"160 White bread, gluten free (Country Life Bakery, Australia) Australia 2006",40,"160 White bread, gluten free (Country Life Bakery, Australia) Australia 2006 40±5 6 Normal, 10 50 183.2 Glucose, 2h Standard Capillary,"
12,Italy)8 Italy 2015*,61,"Italy)8 Italy 2015* 61±6 9 Normal, 10 50 124 Glucose, 2h Standard Capillary,"
12,"162 White roll bread, gluten free (Dr Schär AG/SPA, Ital y)8 Italy 2015*",63,"162 White roll bread, gluten free (Dr Schär AG/SPA, Ital y)8 Italy 2015* 63±8 9 Normal, 10 50 112 Glucose, 2h Standard Capillary,"
12,"AG/SPA, Italy)8 Italy 2015*",52,"AG/SPA, Italy)8 Italy 2015* 52±7 8 Normal, 10 50 132 Glucose, 2h Standard Capillary,"
12,Canada 2007,62,"Canada 2007 62±6 9 Normal, 10 50 127.4 Bread, 2h Standard Capillary,"
